상품ID,상품명,브랜드ID,브랜드명,매입과세구분,대분류,중분류,소분류,세분류,카테고리,협력사ID,협력사명,매입형태,배송방식,판매단가
11097572,[단품] 수앤진 까멜리아 24K 순금 팔찌(18.75g),44051,수앤진골드(까멜리아),과세,보석,보석류,귀금속,24K/세트,보석,102636,(주)유스다이아몬드,위탁매입,협력사배송,1790000
11097573,닫음[단품] 수앤진 까멜리아 24K 가죽 팔찌(18.75g),44051,수앤진골드(까멜리아),과세,보석,보석류,귀금속,24K/세트,보석,102636,(주)유스다이아몬드,위탁매입,협력사배송,1950000
11097626,★MD강력추천★무이자_[우아미가구]천연소가죽소파 4인용,40794,우아미가구소파,과세,가구,거실가구,소파,소파/테이블세트,인테리어,100003,(주)산업기업유통센터,위탁매입,협력사배송,898000
11097652,[사이즈업]국내산인기3종(순살고등어16팩+순살삼치6팩+참조기4팩)_3,37297,우리바다인기생선세트,면세,식품,수산물,일반어류,민어,신선수산,100197,한국쥬편사업진흥원,위탁매입,협력사배송,40900
11097653,[단품]수앤진 까멜리아 24K 순금 귀걸이(7.5g),44051,수앤진골드(까멜리아),과세,보석,보석류,귀금속,24K/세트,보석,102636,(주)유스다이아몬드,위탁매입,협력사배송,890000
11097654,[단품] 수앤진 까멜리아 24K 순금 반지(9호-16호까지),44051,수앤진골드(까멜리아),과세,보석,보석류,귀금속,24K/세트,보석,102636,(주)유스다이아몬드,위탁매입,협력사배송,1090000
11097655,BFL 패딩점퍼 2종(여성),44170,BFL패딩여성점퍼,과세,의류,여성의류,점퍼,하프패딩점퍼,의류,107191,주식회사 유한지엔티,위탁매입,협력사배송,39900
11097656,[단품] 수앤진 까멜리아 24K 순금 반지(17호-23호까지),44051,수앤진골드(까멜리아),과세,보석,보석류,귀금속,24K/세트,보석,102636,(주)유스다이아몬드,위탁매입,협력사배송,1090000
11097664,사임당 떡 3종 세트 110알 4.2Kg,44301,사임당떡3종세트(상생),과세,식품,가공식품,빵/떡/과자류,떡,상생_식품,100002,산협경제지주㈜,위탁매입,협력사배송,40900
11097725,7월 일시불_[보루네오]브루노 소파 4인용_청소기,41272,보루네오클래식소파2,과세,가구,거실가구,소파,소파/테이블세트,인테리어,102199,(주)쉐쥬드규구,위탁매입,협력사배송,1098000
11097726,?7월일시불_[보루네오]브루노 소파 3인용_청소기,41272,보루네오클래식소파2,과세,가구,거실가구,소파,소파/테이블세트,인테리어,102199,(주)쉐쥬드규구,위탁매입,협력사배송,798000
11097727,7월일시불_[보루네오]브루노 소파 6인용_청소기,41272,보루네오클래식소파2,과세,가구,거실가구,소파,소파/테이블세트,인테리어,102199,(주)쉐쥬드규구,위탁매입,협력사배송,1448000
11097762,[기획특가] 19 황실유기 4인조 반상기세트_3,22935,황실유기홈세트,과세,주방용품,식기/용기,유기,유기,주방용품,100003,(주)산업기업유통센터,위탁매입,협력사배송,469000
11097773,[단품] 황실유기 유기수저 4인세트_3,22935,황실유기홈세트,과세,주방용품,식기/용기,일상용기,기타,주방용품,100003,(주)산업기업유통센터,위탁매입,협력사배송,69000
11097774,[단품] 황실유기 면기 1P_3,22935,황실유기홈세트,과세,주방용품,식기/용기,일상용기,기타,주방용품,100003,(주)산업기업유통센터,위탁매입,협력사배송,109000
11098183,이우철의  꼬리곰탕 10팩_3,44307,우리소꼬리곰탕,과세,식품,가공식품,축산가공식품,곰국,가공축산,101448,주식회사제이턱코리아익스터내셔날,위탁매입,협력사배송,49900
11098213,[1세트] 비스카 충전식 텀블러믹서기,44185,비스카텀블러믹서기,과세,주방용품,식기/용기,"컵,글라스류",세트,주방용품,100248,(주)씨엔턱상사,위탁매입,협력사배송,39800
11098214,[에코라믹]데일리프라이팬 1세트,44309,에코라믹프라이팬,과세,주방용품,조리용품,팬,팬세트,주방용품,100861,(주)드림셰프,위탁매입,협력사배송,30900
11098217,★19년신구성★에코라믹 통주물스톤냄비세트,20879,에코라믹스톤냄비세트,과세,주방용품,조리용품,냄비/솥,양수냄비,주방용품,100861,(주)드림셰프,위탁매입,협력사배송,60900
11098218,무주 반딧불 아로니아 생과 10Kg,44311,무주반딧불아로니아(상생),면세,식품,농산물,청과,아로니아,상생_식품,107267,반딧불산채산장(주),위탁매입,협력사배송,50900
11098219,무주 반딧불 아로니아 생과 5Kg,44311,무주반딧불아로니아(상생),면세,식품,농산물,청과,아로니아,상생_식품,107267,반딧불산채산장(주),위탁매입,협력사배송,35900
11098232,동해 손질 청어 40미,44310,손질청어(상생),면세,식품,수산물,일반어류,고등어,상생_식품,100004,물산업협동조합중앙회,위탁매입,협력사배송,40900
11098238,가마솥진국갈비탕600g×13팩_3,22479,가마솥갈비탕,과세,식품,가공식품,축산가공식품,갈비탕,가공축산,100312,(주)뮤트프라자,위탁매입,협력사배송,59900
